feature_removed,r2_without_feature,r2_drop,rmse_without_feature,rmse_increase
Age (day),0.40349412373968985,0.5123697880778707,11.753282955146467,7.339174632213138
Cement (component 1)(kg in a m^3 mixture),0.8981933596323574,0.017670552185203192,4.855566221492182,0.44145789855885287
Curing Temperature (Celsius),0.9051186039068456,0.01074530791071493,4.687511667521038,0.27340334458770865
Blast Furnace Slag (component 2)(kg in a m^3 mixture),0.9067339619215702,0.009129949895990364,4.647437872425461,0.23332954949213125
Fine Aggregate (component 7)(kg in a m^3 mixture),0.9074051056476464,0.008458806169914124,4.630686167382941,0.2165778444496116
Water  (component 4)(kg in a m^3 mixture),0.9110272305486675,0.004836681268893028,4.539211127487232,0.12510280455390266
Superplasticizer (component 5)(kg in a m^3 mixture),0.9116187478340686,0.004245163983491951,4.524096955690454,0.10998863275712445
Coarse Aggregate  (component 6)(kg in a m^3 mixture),0.91197807002133,0.003885841796230527,4.514891021137658,0.10078269820432872
Fly Ash (component 3)(kg in a m^3 mixture),0.9151994362698972,0.0006644755476633568,4.431504536590655,0.017396213657325355
