model,test_r2,test_rmse,test_mae
"Gradient Boosting (outliers removed, original features)",0.9158639118175605,4.4141083229333296,3.1084785859775588
Stacking Regressor (engineered),0.9156293015739698,4.420258324239549,3.1490138198566027
"Gradient Boosting (Notebook 3 baseline, original features)",0.9151084947504643,4.433880109040119,3.1460869997189156
XGBoost (engineered features),0.9139562802990159,4.463868753232,3.090395710365003
LightGBM (engineered features),0.9116927467912318,4.522202614113773,3.222945191615067
Voting Regressor (engineered),0.9105366093548771,4.551709173281623,3.2167690443830437
Gradient Boosting (engineered features),0.9052976345831905,4.683087171961289,3.3705026159444818
Random Forest (engineered features),0.88736186140016,5.107337540474774,3.6805937436817175
