feature,permutation,shap,ablation_r2_drop
Cement (component 1)(kg in a m^3 mixture),0.5023451982644674,5.692796563063704,0.017670552185203192
Blast Furnace Slag (component 2)(kg in a m^3 mixture),0.16488223795193238,3.281710880374229,0.009129949895990364
Fly Ash (component 3)(kg in a m^3 mixture),0.0019500982774433907,0.4280940775073727,0.0006644755476633568
Water  (component 4)(kg in a m^3 mixture),0.19726797603136184,3.703657496959553,0.004836681268893028
Superplasticizer (component 5)(kg in a m^3 mixture),0.08212431054154248,2.031277224687469,0.004245163983491951
Coarse Aggregate  (component 6)(kg in a m^3 mixture),0.02965154583508467,0.9200051027229412,0.003885841796230527
Fine Aggregate (component 7)(kg in a m^3 mixture),0.05242100262871057,1.3919319378367854,0.008458806169914124
Age (day),0.8003428010523626,7.538315928324611,0.5123697880778707
Curing Temperature (Celsius),0.02597131104823096,1.5900449707658988,0.01074530791071493
